*PCF-ID,Description of LCA stage,Scope-characterization of LCA stage,*Assigned value chain portion,Emissions at stage (kg CO2e),*Emissions at this stage are exclusively transport,*Emissions at this stage are exclusively EndOfLife
5414-1-2013,Manufacturing stage,N/a (field not yet included in 2013 reporting),Operations,4.31,No,No
6860-10-2017,Material acquisition,Scope 3,Upstream,190,No,No
6860-10-2017,Manufacturing,Scope 1 & 2,Operations,4.9,No,No
6860-10-2017,Consumer use,Scope 3,Downstream,2000,No,No
6860-10-2017,Recycling,Scope 3,Downstream,50,No,Yes
6860-10-2017,Distribution,Scope 3,Downstream,40,Yes,No
6860-11-2017,Material acquisition,Scope 3,Upstream,260,No,No
6860-11-2017,Manufacturing,Scope 1 & 2,Operations,4.9,No,No
6860-11-2017,Consumer use,Scope 3,Downstream,2000,No,No
6860-11-2017,Recycling,Scope 3,Downstream,66,No,Yes
6860-11-2017,Distribution,Scope 3,Downstream,49,Yes,No
6860-1-2013,Raw material Production(Product),N/a (field not yet included in 2013 reporting),Upstream,70,No,No
6860-1-2013,Product Production (Product),N/a (field not yet included in 2013 reporting),Operations,19,No,No
6860-1-2013,Use(Electricity),N/a (field not yet included in 2013 reporting),Downstream,250,No,No
6860-1-2013,Use(Consumption Life Cycle),N/a (field not yet included in 2013 reporting),Downstream,150,No,No
6860-1-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,2,Yes,No
6860-2-2013,Raw material Production (Product),N/a (field not yet included in 2013 reporting),Upstream,72,No,No
6860-2-2013,Product Production (Product),N/a (field not yet included in 2013 reporting),Operations,19,No,No
6860-2-2013,Use (Electricity),N/a (field not yet included in 2013 reporting),Downstream,250,No,No
6860-2-2013,Use(Consumption Life Cycle,N/a (field not yet included in 2013 reporting),Downstream,230,No,No
6860-2-2013,Distribution (Product),N/a (field not yet included in 2013 reporting),Downstream,2,Yes,No
6860-3-2014,Material acquisition,Scope 3,Upstream,160,No,No
6860-3-2014,Manufacturing,Scope 1 & 2,Operations,28,No,No
6860-3-2014,Consumer use,Scope 3,Downstream,1100,No,No
6860-3-2014,Recycling,Scope 3,Downstream,46,No,Yes
6860-3-2014,Distribution,Scope 3,Downstream,19,Yes,No
6860-3-2015,Material acquisition,Scope 3,Upstream,160,No,No
6860-3-2015,Manufacturing,Scope 1 & 2,Operations,28,No,No
6860-3-2015,Consumer use,Scope 3,Downstream,1100,No,No
6860-3-2015,Recycling,Scope 3,Downstream,46,No,Yes
6860-3-2015,Distribution,Scope 3,Downstream,19,Yes,No
6860-3-2017,Material acquisition,Scope 3,Upstream,160,No,No
6860-3-2017,Manufacturing,Scope 1 & 2,Operations,28,No,No
6860-3-2017,Consumer use,Scope 3,Downstream,1100,No,No
6860-3-2017,Recycling,Scope 3,Downstream,46,No,Yes
6860-3-2017,Distribution,Scope 3,Downstream,19,Yes,No
6860-4-2014,Material acquisition,Scope 3,Upstream,210,No,No
6860-4-2014,Material acquisition,Scope 3,Upstream,28,No,No
6860-4-2014,Manufacturing,Scope 1 & 2,Operations,23,No,No
6860-4-2014,Consumer use,Scope 3,Downstream,1200,No,No
6860-4-2014,Recycling,Scope 3,Downstream,67,No,Yes
6860-4-2015,Material acquisition,Scope 3,Upstream,210,No,No
6860-4-2015,BLANK,Scope 3,Operations,23,No,No
6860-4-2015,Consumer use,Scope 3,Downstream,1200,No,No
6860-4-2015,Recycling,Scope 3,Downstream,67,No,Yes
6860-5-2017,Material acquisition,Scope 3,Upstream,180,No,No
6860-5-2017,Manufacturing,Scope 1 & 2,Operations,25,No,No
6860-5-2017,Consumer use,Scope 3,Downstream,910,No,No
6860-5-2017,Recycling,Scope 3,Downstream,47,No,Yes
6860-5-2017,Distribution,Scope 3,Downstream,21,Yes,No
6860-6-2017,Material acquisition,Scope 3,Upstream,130,No,No
6860-6-2017,Manufacturing,Scope 1 & 2,Operations,14,No,No
6860-6-2017,Consumer use,Scope 3,Downstream,2100,No,No
6860-6-2017,Recycling,Scope 3,Downstream,45,No,Yes
6860-6-2017,Distribution,Scope 3,Downstream,16,Yes,No
6860-7-2017,Material acquisition,Scope 3,Upstream,180,No,No
6860-7-2017,Manufacturing,Scope 1 & 2,Operations,25,No,No
6860-7-2017,Consumer use,Scope 3,Downstream,1000,No,No
6860-7-2017,Recycling,Scope 3,Downstream,47,No,Yes
6860-7-2017,Distribution,Scope 3,Downstream,21,Yes,No
6860-8-2017,Material acquisition,Scope 3,Upstream,130,No,No
6860-8-2017,Manufacturing,Scope 1 & 2,Operations,14,No,No
6860-8-2017,Consumer use,Scope 3,Downstream,2100,No,No
6860-8-2017,Recycling,Scope 3,Downstream,45,No,Yes
6860-8-2017,Distribution,Scope 3,Downstream,16,Yes,No
6860-9-2017,Material acquisition,Scope 3,Upstream,180,No,No
6860-9-2017,Manufacturing,Scope 1 & 2,Operations,25,No,No
6860-9-2017,Consumer use,Scope 3,Downstream,1000,No,No
6860-9-2017,Recycling,Scope 3,Downstream,47,No,Yes
6860-9-2017,Distribution,Scope 3,Downstream,21,Yes,No
6874-1-2013,Production,N/a (field not yet included in 2013 reporting),Operations,1.8,No,No
6874-1-2013,Material/Recycle,N/a (field not yet included in 2013 reporting),Downstream,75.4,No,Yes
6874-1-2013,Use phase,N/a (field not yet included in 2013 reporting),Downstream,57.8,No,No
6874-1-2013,Dispose,N/a (field not yet included in 2013 reporting),Downstream,4.3,No,Yes
6874-1-2013,Transport,N/a (field not yet included in 2013 reporting),Downstream,0.9,Yes,No
6874-1-2014,Material acquisition,Scope 3,Upstream,75.4,No,No
6874-1-2014,Production,Scope 1 & 2,Operations,1.8,No,No
6874-1-2014,Consumer use,Scope 3,Downstream,57.8,No,No
6874-1-2014,Waste,Scope 3,Downstream,4.3,No,Yes
6874-1-2014,Transportation,Scope 3,Downstream,0.9,Yes,No
7164-1-2014,Manufacturing,Scope 1 & 2,Operations,867,No,No
7164-1-2014,Cradle to grave,"Scope 1, 2, & 3",Downstream,33932,No,No
7164-1-2015,Manufacturing,Scope 1 & 2,Operations,844,No,No
7164-1-2015,Cradle to grave,"Scope 1, 2, & 3",Downstream,39101,No,No
7283-1-2013,"Material (steel, cast iron, zinc)",N/a (field not yet included in 2013 reporting),Upstream,2,No,No
7283-1-2013,Casting,N/a (field not yet included in 2013 reporting),Operations,0.4,No,No
7283-1-2013,Transport,N/a (field not yet included in 2013 reporting),Downstream,0.02,Yes,No
7283-1-2013,"End of life (recycling, cut-off)",N/a (field not yet included in 2013 reporting),Downstream,0.0001,No,Yes
73475-1-2016,Production,Scope 1,Operations,800,No,No
73475-1-2016,Energy/Fuel,Scope 2,Operations,73,No,No
73475-1-2016,"Other: Use of sold products, coal combustion",Scope 3,Downstream,2152,No,No
8362-1-2016,Material acquisition,Scope 3,Upstream,5556,No,No
8362-1-2016,Manufacturing,Scope 1,Operations,203,No,No
8362-1-2016,Manufacturing,Scope 2,Operations,154,No,No
8362-1-2016,Energy/Fuel,Scope 3,Operations,122,No,No
8362-1-2016,Consumer use,Scope 3,Downstream,185315,No,No
8362-1-2016,End of life/Final disposal,Scope 3,Downstream,268,No,Yes
8362-1-2016,Transportation,Scope 3,Downstream,32,Yes,No
8362-1-2016,Transportation,Scope 3,Downstream,24,Yes,No
8362-1-2016,Waste,Scope 3,Downstream,13,No,Yes
8517-1-2015,Production,Scope 1,Operations,153,No,No
8517-1-2015,Energy/Fuel,Scope 2,Operations,1.2,No,No
8517-1-2015,Transportation,Scope 3,Downstream,57,Yes,No
8517-2-2015,Production,Scope 1,Operations,180,No,No
8517-2-2015,Energy/Fuel,Scope 2,Operations,0,No,No
8517-2-2015,Transportation,Scope 3,Downstream,30,Yes,No
9101-1-2015,Material acquisition,Scope 3,Upstream,28.466,No,No
9101-1-2015,Operation of premises,Scope 1 & 2,Operations,0.779,No,No
9101-1-2015,Assembly,Scope 3,Operations,0.577,No,No
9101-1-2015,Consumer use,Scope 3,Downstream,15.203,No,No
9101-1-2015,Distribution,Scope 3,Downstream,2.887,Yes,No
9101-1-2015,Transportation,Other: Scope 1 & 3,Downstream,0.576,Yes,No
9101-1-2015,Other: Maintenance,Scope 3,Downstream,0.035,No,No
9101-1-2015,Recycling,Scope 3,Downstream,-0.01,No,Yes
9298-1-2013,Input Materials and Supplies,N/a (field not yet included in 2013 reporting),Upstream,7,No,No
9298-1-2013,Manufacturing and Operations,N/a (field not yet included in 2013 reporting),Operations,19,No,No
9298-1-2013,Business Travel,N/a (field not yet included in 2013 reporting),Operations,1,No,No
9298-1-2013,Logistics,N/a (field not yet included in 2013 reporting),Downstream,2,Yes,No
9298-1-2014,Material acquisition,Scope 3,Upstream,9.3,No,No
9298-1-2014,Manufacturing,Scope 1 & 2,Operations,15.7,No,No
9298-1-2014,Other:,Scope 3,Downstream,4,No,No
9298-2-2013,Input Materials and Supplies,N/a (field not yet included in 2013 reporting),Upstream,3,No,No
9298-2-2013,Manufacturing and Operations,N/a (field not yet included in 2013 reporting),Operations,9,No,No
9298-2-2013,Business Travel,N/a (field not yet included in 2013 reporting),Operations,1,No,No
9298-2-2013,Logistics,N/a (field not yet included in 2013 reporting),Downstream,1,Yes,No
9298-2-2014,Material acquisition,Scope 3,Upstream,4.5,No,No
9298-2-2014,Manufacturing,Scope 1 & 2,Operations,7.6,No,No
9298-2-2014,Other:,Scope 3,Downstream,1.9,No,No
9298-3-2013,Input Materials and Supplies,N/a (field not yet included in 2013 reporting),Upstream,2,No,No
9298-3-2013,Manufacturing and Operations,N/a (field not yet included in 2013 reporting),Operations,5,No,No
9298-3-2013,Business Travel,N/a (field not yet included in 2013 reporting),Operations,0,No,No
9298-3-2013,Logistics,N/a (field not yet included in 2013 reporting),Downstream,0,Yes,No
9298-3-2014,Material acquisition,Scope 3,Upstream,2.2,No,No
9298-3-2014,Manufacturing,Scope 1 & 2,Operations,3.8,No,No
9298-3-2014,Other:,Scope 3,Downstream,1,No,No
